Question;Aanswer;Banswer;Canswer;correct
Sk¹d pochodzi³ Pan Twardowski?;Polska;Rosja;Niemcy;c
Jak skoñczy³ Pan Twardowski?;Zosta³ zabity;Uciek³ na ksiê¿yc;Trafi³ do wiêzienia;a
Komu Twardowski pomóg³ oszukaæ króla?;Zygmuntowi Augustowi;Miko³ajowi Mniszchowi; diab³u;b
W czym Twardowski mia³ pomóc królowi?;zdobyciu z³ota;zdobyciu s³awy;przywo³aniu ducha;c
Czy Twardowski by³ magiem?;Tak;Nie;By³ Knightem i wali³ z axe'a;a
Czy kogut Twardowskiego znosi³ jaja?;Tak, zwyk³e;Tak, z³ote;Nie;c
Czy w legendzie Twardowski odwiedzi³ Rzym?;Tak;Nie;Tylko Watykan;a
Jaki jest najbardziej znany artefakt Twardowskiego?;Ser;Lustro;Flaszka;b
O czym Twardowski napisa³ ksi¹¿kê?;O magii;O pokemonach; O dinozaurach;a
Gdzie siedzi Twardowski?;Na marsie;Na ksiê¿ycu;W s³oñcu;b